"","No.","Total Records","Count Changes","Non-Duplicates","Record Pairs","Quality %","Us-N","Us-P","Us-L","Ma-N","Ma-P","Ma-L","St-N","St-P","St-L","Ml-N","Ml-P","Ml-L","% Records Ident."
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0
"5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0",0
"6",6,22650,27360,1580,2359770,0.59,2336728,0,23042,2345282,11465,3023,2357995,0,1775,"","","",112.34
