"","Total Records","Count Changes","Non-Duplicates","Record Pairs","Quality %","Us-N","Us-P","Us-L","Ma-N","Ma-P","Ma-L","St-N","St-P","St-L","Ml-N","Ml-P","Ml-L","Accuracy %","NA"
"1",1,2413,413,210,6952,0.74,6336,0,616,6336,415,201,6750,0,202,"","","",96.19
"2",2,4829,829,420,26415,0.74,25198,0,1217,25198,815,402,26013,0,402,"","","",95.71
"3",3,7242,1242,630,59428,0.74,29832,0,29596,57590,1237,601,58825,0,603,"","","",95.71
"4",4,9658,1658,840,103468,0.74,101021,0,2447,101021,1645,802,102650,0,818,"","","",97.38
"5",5,12074,2074,1050,162166,0.74,159102,0,3064,159102,2064,1000,161136,0,1030,"","","",98.1
"6",5,60370,10370,5250,3955899,0.74,1980512,0,1975387,3940568,10335,4996,3950776,0,5123,"","","",97.58
